column_name;p01;p06;use
cruise;;;
station;;;
type;;;
datetime;;;
lon;;;
lat;;;
etopo2_depth_m;;;
distance_to_land_km;;;
version;;;
fco2_sourceid;;;
qc_flag;;;
cruise_dataset_name;;;
ship_vessel_name;;;
principle_investigators;;;
data_source_doi;;;
data_source_reference;;;
data_source_metadata;;;
additional_metadata_documents;;;
sample_depth_m;;;
qf;;;
water_temperature_degc;PSSTTS01;UPAA;x
salinity_psu;ODSDM021;UGKG;x
woa2005_sea_surface_salinity_psu;;;
fco2_recomputed_uatm;FCO2XXXX;UATM;x
qv_wocebottle;;;
qv_odv_sample;;;
