vliz_abiotic_parameter;P01;vliz_abiotic_unit;P06
Station;;;
Time;;;
Latitude;;;
Longitude;;;
Ammonium_NH4(umol_N_NH4/L);AMONAAD4;uM;UPOX
CPAR;;unitless;
Density(kg/m3);;kg/m3;
Fluorescence(mg/m3);;mg/m3;UMMC
Nitrate_Nitrite(umol_N_NO3_NO2/L);;uM;UPOX
Nitrate_NO3(umol_N_NO3/L);NTRAXXDZ;uM;UPOX
Nitrite_NO2(umol_N_NO2/L);NTRIMADZ;uM;UPOX
OBS(NTU);;NTU;
PAR;;;
Ph;PHMASSXX;;UUPH
Phosphate_PO4(umol_P_PO4/L);PHOSKGD5;uM;UPOX
Pressure(db);;decibar;
Salinity(PSU);ODSDM021;PSU;UGKG
Secchi_Depth(cm);SECCSDNX;cm;ULCM
Silicate_SiO4(umol_Si_SiO4/L);SLCAAAD1;uM;UPOX
Sound_Velocity(m/s);;m/s;
SPAR;;;
SPM(mg/l);SPM02WE1;mg/l;UMGL
Temperature(degC);PSSTTS01;degC;UPAA
